signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal
MDA_6_vs_proxy_parental_DOWN_FC_0,1.58533221963068e-09,0.587669229691161,660,1320,0.918057056281599,2.09821288648329,0.603380311947223,1.24343734045042,0.436270500079101,1.02222355187339,1.16204082553655,0.707885987852698,0.395301617232085,5.84817499774372e-13,0.00722998075504265,0.159831703921039,8.52097910464428e-07,0.881989166347253,0.835219909286592,0.100314686862184
MDA_p-Low_vs_p-BoM_DOWN_FC_0,5.2583293813194e-07,0.582579766283343,297,1683,0.843836899211037,2.08003041378085,0.600044665569696,1.28327659524091,0.440953635115146,1.03760281855198,1.17303591113456,0.714339410787766,0.14903490146741,1.00056123506581e-12,0.00550461826548425,0.113463353705391,6.27708128346836e-07,0.803565015347552,0.824719326511145,0.102317450347791
HCC_2_vs_p-L_UP_FC_2,1.15695359648349e-05,0.582019020957424,205,1775,0.76180524606418,2.08827660524579,0.575333846653214,1.34945333738111,0.465580892983233,1.1187456393508,1.22945238387646,0.75216714796192,0.0739070109524536,7.04962763395086e-13,0.00246363985076533,0.0695988597198129,1.01322393121373e-05,0.483693751864551,0.774893928107354,0.179972907039719
MDA_4_vs_proxy_parental_UP_FC_0,3.11236869509314e-10,0.578444349332938,784,1196,0.829970989800658,2.05925795955758,0.590998159755053,1.28380412656275,0.459303032523762,1.04384229716992,1.19937537143015,0.744525544547941,0.0579714872583759,2.40537127654582e-12,0.00400043311861671,0.107114742174466,3.33541940574106e-06,0.772235231833368,0.800803357679011,0.156611767496507
HCC_3_vs_p-L_UP_FC_2,3.5104886584859e-08,0.577934895154075,375,1605,0.733659591957609,2.06352143460087,0.576472252224036,1.3951950402217,0.501703474658448,1.20966897003943,1.33498531624741,0.80157286728036,0.0181647642302112,1.70529068783537e-12,0.00253880811810757,0.0417620007546174,0.000117161457981122,0.255365450326283,0.689911232854739,0.304371481690137
MDA_10_vs_proxy_parental_DOWN_FC_2,0.00310713285911867,0.577273942000069,77,1903,0.793923702285016,2.1159351862963,0.583348271728429,1.21846508644737,0.421544287002782,1.00248637759764,1.116572510506,0.68278344808582,0.226024963481292,1.70187974909897e-13,0.00315517666909553,0.194691410179463,6.07406568294927e-08,0.986546423944982,0.87816156404832,0.0585741918792581
MDA_9_vs_proxy_parental_DOWN_FC_1,1.05243532282745e-07,0.574816508198888,1343,637,0.73471221986374,2.12664026139723,0.617606782597943,1.2317997669087,0.457942571308566,1.03413763544177,1.1801772634263,0.768006597447292,0.00527906690024358,1.18759444521324e-13,0.00868527519702645,0.171347989282965,1.48816746721138e-06,0.819963199356459,0.81790931433677,0.200994504545167
MDA_4_vs_proxy_parental_DOWN_FC_1,1.76654378396683e-10,0.572564630020222,682,1298,0.842240770797507,2.08555522073129,0.615053899860488,1.25975127746135,0.457124384633164,1.06014822049092,1.23453002489327,0.735925297335023,0.0761913410173633,6.18242075072621e-13,0.00871389567616124,0.133182638173181,3.01310164795173e-06,0.696497968068545,0.770469306941734,0.139661771625204
MDA_p-Low_vs_p-LM2_DOWN_FC_0,8.7782411248348e-05,0.570405430354076,136,1844,0.809472367695641,2.09359175015479,0.593301446211357,1.24521659358106,0.429388332993935,1.02128074284878,1.13951271282232,0.697194955264363,0.157521205796457,5.32555646083165e-13,0.00440326528178668,0.153315622362406,1.4983302889947e-07,0.886498008065905,0.855992854243903,0.0759447366307264
MDA_0_vs_proxy_parental_DOWN_FC_1,2.61833031084101e-10,0.570192910411692,967,1013,0.726662387004403,2.16973785617662,0.707470579796507,1.30153433447356,0.498309351915688,1.10702521578078,1.36117458225272,0.816286971118773,0.00121048138760396,3.48580919992774e-14,0.071183654135919,0.0865817127739956,3.45065723526211e-05,0.497970676112257,0.669355881393259,0.332884968860853
MDA_12_vs_proxy_parental_UP_FC_0,1.38181766740325e-05,0.570055044618923,182,1798,0.892757491147591,2.10364376620896,0.59586783390379,1.25395247135737,0.431057479314239,1.03153552390068,1.14103395787038,0.6974016322181,0.422269650115331,4.19057603868557e-13,0.00526729751066501,0.152376946943664,3.58841127149727e-07,0.835958353054139,0.854727124650511,0.0811892897904623
HCC_LM-H_vs_LM-L_DOWN_FC_1,4.30940717983127e-05,0.567165042175367,144,1836,0.79581784429188,2.08130902040801,0.590936572150912,1.2099507538085,0.42506105031164,1.03387977315264,1.13255349057524,0.67030778649168,0.118481679258304,1.11761560267048e-12,0.00404927108398713,0.210794834566936,8.82532352196668e-08,0.822480868059442,0.862646400095659,0.0469677322055522
